Joshua,shower,
Juan,wand,
Jud,jug,
Julio,jewel that is low,
Justin,justice,
Keith,keys,
Ken,can,
Kenneth,can on,net
Kent,tent,
Kevin,cave in,
Kirk,kick,
Kyle,tile,
Lance,Sir Lancelot,
Larry,lariat,
Lawrence,law for ants,
Lee,leaves,
Len,lens,
Leo,lion,
Leon,lean on,
Leroy,leaves on,toy
Les,less than sign ‘<’,
Lionel,Lionel train,
Lou,blue (color),
Lucas,low kiss,
Luke,luke warm water,
Luther,roofer with an ‘L’,
Lyle,aisle,
Mack,Mack Truck,
Manny,man with an ‘E’,
Mark,marker,
Marshall,law enforcement,
Martin,Martian,
Marvin,carving,
Mason,mason jar,
Matt,door matt,
Matthew,matt in,pew
Maurice,more rice,
Max,mix,
Maxwell,mix well,
Mel,melon,
Melvin,melt van,
Michael,bicycle,
Mickey,Mickey Mouse,
Mike,microphone,
Miles,miles,
Mitch,mitt,
Morris,Morris The Cat,
Morgan,organ,
Nathan,gnat in your head,
Ned,bed,
Neal,nail,
Nick,nickel,
Noah,no air,
Noel,Christmas Noel,
Norman,Norseman,
Oliver,olive,
Oscar,Academy award,
Otis,Otis elevator,
Owen,rowing,
Pat,pat something,
Patrick,St Patrick,
Paul,ball,
Pedro,paid to row,
Pete,Pete Moss,
Peter,Peter cottontail,
Phil,fill up,
Pierre,pier,
Preston,pressing,ton
Quincy,wind and sea,
Ralph,raft,
Randall,ram and doll,
Randolph,ram and dolphin,
Randy,bottle of brandy,
Ray,ray of light,
Raymond,ray on,mound
Rex,wrecks,
Richard,wrench in,yard
Richie,dollar sign,
Rick,brick,
Rob,robber,
Robbie,robe,
Robert,robot,
Rod,rod,
Roderick,rod in,brick
Rodney,rod in knee,
Roger,rod in chair,
Roland,rolling,
Ron,rum,
Ronald,Ronald McDonald,
Ronnie,running,
Ross,boss,
Roy,Roy Rogers,
Russ,rusts,
Russell,rustle,
Sam,Uncle Sam,
Sammy,Uncle Sam on knee,
Samuel,Uncle Sam on mule,
Sandy,sand,
Scott,Scott paper towels,
Shawn,yawn,
Seymour,see more,
Sheldon,shielding,
Sherman,German shepard,
Sid,sit,
Stan,stand,
Steve,stove,
Stewart,steward,
Stu,stew,
Tad,tadpole,
Teddy,teddy bear,
Terry,tearing an ‘E’,
Tex,Texas,
Theodore,see,door
Thomas,thermos,
Tim,tin can,
Timothy,tin of tea,
Toby,toe and bee,
Todd,toad,
Tom,tom cat,
Tommy,Tommy gun,
Tony,Tony the Tiger,
Tracy,tracing an ‘E’,
Ty,tie,
Tyrone,tie rowing,
Tyler,tire,
Van,van,
Vince,fence,
Vern,fern,
Vernon,furry nun,
Vic,Vick’s cough drop,
Vincent,mint fence,
Wade,wade in pool,
Wallace,walrus,
Walt,waltz,
Walter,wallpaper,
Ward,ward,
Warren,warden,
Wayne,rain,
